CRASH_DATE,LATITUDE,LONGITUDE,LIGHTING_CONDITION,INJURIES_FATAL
2019-01-03 12:25:00,41.802115893,-87.62117571,DAYLIGHT,2.0
2021-11-05 14:59:00,41.722304403,-87.59473130399999,DAYLIGHT,1.0
2019-12-06 11:35:00,41.763359039,-87.64018846,DAYLIGHT,1.0
2020-06-28 18:49:00,41.741907693,-87.714507901,DAYLIGHT,1.0
2022-06-10 19:56:00,41.898948542,-87.62397498799999,DAYLIGHT,1.0
2018-08-05 18:56:00,41.771985735,-87.66416094200001,DAYLIGHT,1.0
2018-10-30 16:57:00,41.852235429000004,-87.65884381,DAYLIGHT,1.0
2019-09-17 11:30:00,41.891682324,-87.63273071299999,DAYLIGHT,1.0
2021-06-10 11:30:00,41.728909499000004,-87.55108091,DAYLIGHT,1.0
2021-06-02 18:06:00,41.692263123000004,-87.64252268799999,DAYLIGHT,1.0
2021-10-28 10:12:00,41.684699001,-87.540066777,DAYLIGHT,1.0
2022-04-11 17:45:00,41.819069049,-87.64342933200001,DAYLIGHT,1.0
2016-08-16 08:15:00,41.897732790999996,-87.65794393899999,DAYLIGHT,1.0
2019-09-19 17:39:00,41.707887693,-87.64057658799999,DAYLIGHT,1.0
2018-04-02 13:08:00,41.798692923000004,-87.743430462,DAYLIGHT,1.0
2021-03-25 15:10:00,42.010245596,-87.674391139,DAYLIGHT,1.0
2021-10-04 12:23:00,41.685044902,-87.636251102,DAYLIGHT,1.0
2020-09-12 14:04:00,41.779065679,-87.68378126,DAYLIGHT,1.0
2018-12-13 12:25:00,41.909362512,-87.758054786,DAYLIGHT,1.0
2019-07-15 19:31:00,41.778814802,-87.66405622399999,DAYLIGHT,1.0
2020-08-14 12:27:00,41.833962822,-87.6654999,DAYLIGHT,1.0
2019-09-11 13:18:00,41.923973259,-87.75798631299999,DAYLIGHT,1.0
2019-05-11 07:02:00,41.749951643,-87.70216495700001,DAYLIGHT,1.0
2017-09-29 12:47:00,41.772065709,-87.683593245,DAYLIGHT,1.0
2021-12-12 12:45:00,41.978330811,-87.650889256,DAYLIGHT,2.0
2019-11-21 12:30:00,41.909544106,-87.760918459,DAYLIGHT,1.0
2019-02-10 14:32:00,41.881994253,-87.722090846,DAYLIGHT,1.0
2016-10-10 15:35:00,41.769271931,-87.64800239799999,DAYLIGHT,1.0
2021-05-31 15:20:00,41.923660033000004,-87.80124358799999,DAYLIGHT,1.0
2017-02-11 16:12:00,41.768744341,-87.64465137799999,DAYLIGHT,1.0
2018-02-20 15:00:00,41.890202462,-87.636846975,DAYLIGHT,1.0
2017-08-23 05:52:00,41.770424218,-87.583930289,DAYLIGHT,1.0
2018-06-25 15:02:00,41.653388566,-87.615773747,DAYLIGHT,1.0
2017-11-24 12:30:00,41.766871449,-87.722316839,DAYLIGHT,1.0
2021-02-22 11:54:00,41.759231605,-87.654109345,DAYLIGHT,1.0
2022-02-05 16:39:00,41.816624661999995,-87.62457701299999,DAYLIGHT,1.0
2020-07-24 18:15:00,41.81586296,-87.678599714,DAYLIGHT,1.0
2021-06-04 06:29:00,41.751105797,-87.65389912100001,DAYLIGHT,1.0
2021-08-22 11:38:00,41.82067182,-87.68952446200001,DAYLIGHT,1.0
2021-06-25 14:27:00,41.737163691,-87.614398726,DAYLIGHT,1.0
2018-10-13 15:00:00,41.795092671,-87.728263079,DAYLIGHT,1.0
2017-09-23 12:25:00,41.909437727,-87.765549406,DAYLIGHT,1.0
2018-01-22 09:51:00,41.797782661,-87.627725883,DAYLIGHT,1.0
2020-02-08 09:30:00,41.925653149,-87.71228157899999,DAYLIGHT,1.0
2021-08-15 14:13:00,41.870249357,-87.762043875,DAYLIGHT,1.0
2016-11-05 13:33:00,41.779926518,-87.631979326,DAYLIGHT,1.0
2017-08-17 12:20:00,41.738788051,-87.62405576399999,DAYLIGHT,1.0
2021-04-26 19:25:00,41.744010583000005,-87.59239746600001,DAYLIGHT,1.0
2019-01-05 15:25:00,41.904986409,-87.661712925,DAYLIGHT,1.0
2019-11-15 09:30:00,41.888251786,-87.755501071,DAYLIGHT,1.0
